,Name,Album,Artist,Release_date,Length,Popularity,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,Key,Valence
0,Life Goes On,BE,BTS,2020-11-20,207481,95,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,4,1,0.45
1,Fly To My Room,BE,BTS,2020-11-20,222242,87,0.0484,0.764,0.526,0.0,0.0718,-7.355,0.212,114.91,4,11,0.588
2,Blue & Grey,BE,BTS,2020-11-20,254950,88,0.42,0.547,0.605,0.0,0.125,-6.755,0.0415,121.953,4,8,0.364
3,Stay,BE,BTS,2020-11-20,204800,86,0.114,0.582,0.693,0.0,0.13,-5.048,0.0465,125.904,4,6,0.341
4,Dynamite,BE,BTS,2020-11-20,199053,89,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,6,0.737
5,Dis-ease,BE,BTS,2020-11-20,239722,86,0.0132,0.731,0.845,0.0,0.0782,-5.352,0.132,101.085,4,8,0.484
6,Telepathy,BE,BTS,2020-11-20,202313,87,0.00782,0.787,0.669,0.0,0.123,-4.333,0.0428,104.994,4,5,0.57
7,Skit,BE,BTS,2020-11-20,179547,81,0.864,0.703,0.321,0.0,0.908,-13.135,0.884,114.822,4,4,0.544
8,Intro : Persona,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,171023,66,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,86.622,4,9,0.652
9,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,84,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4,11,0.798
10,Mikrokosmos,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,224225,75,0.125,0.58,0.858,0.0,0.0502,-5.212,0.114,174.039,3,8,0.475
11,Make It Right,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,226321,73,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,105.766,4,7,0.261
12,HOME,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,234177,74,0.0142,0.633,0.799,0.0,0.194,-4.625,0.0429,142.991,4,7,0.535
13,Jamais Vu,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,227275,69,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,81.0,4,8,0.241
14,Dionysus,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,249215,71,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,176.084,4,7,0.588
15,Euphoria,Love Yourself 結 'Answer',BTS,2018-08-24,228615,79,0.394,0.637,0.799,0.0,0.0921,-4.519,0.0338,104.995,4,2,0.562
16,Trivia 起 : Just Dance,Love Yourself 結 'Answer',BTS,2018-08-24,225220,66,0.0907,0.723,0.906,0.0,0.0771,-4.778,0.279,125.019,4,1,0.398
17,Serendipity (Full Length Edition),Love Yourself 結 'Answer',BTS,2018-08-24,276707,74,0.445,0.347,0.578,0.0,0.231,-7.525,0.0626,86.73,5,8,0.226
18,DNA,Love Yourself 結 'Answer',BTS,2018-08-24,223122,75,0.0223,0.599,0.774,0.0,0.0669,-4.014,0.0541,129.819,4,1,0.696
19,Dimple,Love Yourself 結 'Answer',BTS,2018-08-24,196776,70,0.142,0.612,0.844,0.0,0.287,-4.694,0.0756,134.868,4,5,0.653
20,Trivia 承 : Love,Love Yourself 結 'Answer',BTS,2018-08-24,225697,65,0.246,0.761,0.761,0.0,0.103,-5.721,0.0897,121.972,4,5,0.483
21,Her,Love Yourself 結 'Answer',BTS,2018-08-24,228612,60,0.317,0.481,0.927,0.0,0.0583,-5.704,0.27,88.931,4,3,0.448
22,Singularity,Love Yourself 結 'Answer',BTS,2018-08-24,196998,70,0.554,0.775,0.271,0.00285,0.112,-9.131,0.092,104.001,3,1,0.204
23,FAKE LOVE,Love Yourself 結 'Answer',BTS,2018-08-24,242333,74,0.00267,0.557,0.719,0.0,0.306,-4.515,0.0372,77.501,4,2,0.344
24,The Truth Untold,Love Yourself 結 'Answer',BTS,2018-08-24,242292,70,0.372,0.57,0.422,0.0,0.127,-7.561,0.0422,113.007,4,1,0.169
25,Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,72,0.181,0.707,0.791,0.0,0.102,-4.481,0.035,106.985,4,5,0.678
26,Tear,Love Yourself 結 'Answer',BTS,2018-08-24,284980,66,0.327,0.711,0.903,0.0,0.0887,-2.723,0.247,140.015,4,6,0.467
27,Epiphany,Love Yourself 結 'Answer',BTS,2018-08-24,240361,75,0.29,0.509,0.558,0.0,0.131,-6.369,0.0276,135.879,4,2,0.327
28,I'm Fine,Love Yourself 結 'Answer',BTS,2018-08-24,240339,71,0.00852,0.51,0.842,0.0,0.346,-2.782,0.103,87.605,4,11,0.302
29,IDOL,Love Yourself 結 'Answer',BTS,2018-08-24,222732,76,0.00481,0.734,0.855,0.0,0.123,-3.211,0.118,126.035,4,9,0.422
30,Answer : Love Myself,Love Yourself 結 'Answer',BTS,2018-08-24,251279,72,0.189,0.569,0.793,0.0,0.111,-3.749,0.0405,108.048,4,1,0.45
31,Magic Shop,Love Yourself 結 'Answer',BTS,2018-08-24,275695,71,0.103,0.541,0.661,0.0,0.0779,-5.838,0.0889,149.926,4,1,0.285
32,Best Of Me,Love Yourself 結 'Answer',BTS,2018-08-24,227191,69,0.0298,0.651,0.756,0.0,0.396,-4.388,0.0762,121.96,4,8,0.473
33,Airplane pt.2,Love Yourself 結 'Answer',BTS,2018-08-24,218614,71,0.0268,0.769,0.817,9.95e-05,0.084,-4.092,0.0339,139.979,4,0,0.866
34,Go Go,Love Yourself 結 'Answer',BTS,2018-08-24,235779,72,0.171,0.856,0.617,0.0,0.0857,-5.308,0.0841,136.082,4,10,0.759
35,Anpanman,Love Yourself 結 'Answer',BTS,2018-08-24,232966,72,0.0237,0.813,0.875,0.0,0.288,-2.92,0.0918,99.004,4,1,0.756
36,MIC Drop,Love Yourself 結 'Answer',BTS,2018-08-24,238193,65,0.00912,0.667,0.889,0.0,0.0816,-4.851,0.0918,169.959,4,6,0.541
37,DNA (Pedal 2 LA Mix),Love Yourself 結 'Answer',BTS,2018-08-24,247483,56,0.0352,0.488,0.955,0.0,0.301,-3.44,0.134,129.972,4,1,0.48
38,FAKE LOVE (Rocking Vibe Mix),Love Yourself 結 'Answer',BTS,2018-08-24,238494,60,0.0573,0.463,0.804,0.0,0.432,-4.009,0.0391,154.913,4,2,0.352
39,MIC Drop (Steve Aoki Remix) [Full Length Edition],Love Yourself 結 'Answer',BTS,2018-08-24,307675,76,0.0114,0.606,0.848,1.06e-06,0.206,-3.952,0.184,170.01,4,11,0.54
40,IDOL,Love Yourself 結 'Answer',BTS,2018-08-24,260233,69,0.00219,0.709,0.857,0.0,0.103,-3.394,0.0881,126.038,4,9,0.446
41,Intro : Persona,MAP OF THE SOUL : 7,BTS,2020-02-28,171023,37,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,86.622,4,9,0.652
42,Boy With Luv (Feat. Halsey),MAP OF THE SOUL : 7,BTS,2020-02-28,229773,44,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4,11,0.798
43,Make It Right,MAP OF THE SOUL : 7,BTS,2020-02-28,226321,42,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,105.766,4,7,0.261
44,Jamais Vu,MAP OF THE SOUL : 7,BTS,2020-02-28,227275,40,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,81.0,4,8,0.241
45,Dionysus,MAP OF THE SOUL : 7,BTS,2020-02-28,249215,42,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,176.084,4,7,0.588
46,Interlude : Shadow,MAP OF THE SOUL : 7,BTS,2020-02-28,259821,51,0.115,0.385,0.798,0.0,0.181,-6.439,0.483,149.756,4,9,0.141
47,Black Swan,MAP OF THE SOUL : 7,BTS,2020-02-28,198260,49,0.137,0.719,0.758,0.0,0.129,-5.167,0.0851,147.023,4,2,0.49
48,Filter,MAP OF THE SOUL : 7,BTS,2020-02-28,180220,59,0.0222,0.781,0.762,0.0,0.121,-5.188,0.0626,110.042,4,10,0.86
49,My Time,MAP OF THE SOUL : 7,BTS,2020-02-28,234457,58,0.151,0.674,0.64,0.0,0.0925,-5.139,0.0339,99.908,4,0,0.664
50,Louder than bombs,MAP OF THE SOUL : 7,BTS,2020-02-28,217404,52,0.0433,0.643,0.667,0.0,0.0904,-6.993,0.152,145.999,4,0,0.485
51,ON,MAP OF THE SOUL : 7,BTS,2020-02-28,246380,64,0.118,0.583,0.817,0.0,0.338,-5.146,0.0987,105.936,4,9,0.438
52,UGH!,MAP OF THE SOUL : 7,BTS,2020-02-28,225012,52,0.0394,0.72,0.824,0.0,0.0509,-5.086,0.128,165.998,4,10,0.333
53,00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,2020-02-28,250295,56,0.0802,0.566,0.548,0.0,0.11,-6.456,0.0579,157.999,4,1,0.196
54,Inner Child,MAP OF THE SOUL : 7,BTS,2020-02-28,233265,54,0.017,0.589,0.696,0.0,0.0808,-7.981,0.0725,134.953,4,11,0.332
55,Friends,MAP OF THE SOUL : 7,BTS,2020-02-28,199338,59,0.0668,0.55,0.747,0.0,0.0536,-5.211,0.0407,79.98,4,1,0.648
56,Moon,MAP OF THE SOUL : 7,BTS,2020-02-28,208589,55,0.0104,0.703,0.646,0.0,0.191,-6.658,0.0596,141.87,4,6,0.64
57,Respect,MAP OF THE SOUL : 7,BTS,2020-02-28,237540,53,0.00485,0.661,0.84,0.0,0.287,-4.805,0.116,91.457,4,0,0.524
58,We are Bulletproof : the Eternal,MAP OF THE SOUL : 7,BTS,2020-02-28,261542,57,0.225,0.526,0.575,0.0,0.108,-5.215,0.0309,84.047,4,9,0.19
59,Outro : Ego,MAP OF THE SOUL : 7,BTS,2020-02-28,196198,52,0.0121,0.808,0.903,0.000233,0.0993,-3.106,0.0958,116.988,4,0,0.473
60,ON (Feat. Sia),MAP OF THE SOUL : 7,BTS,2020-02-28,246816,51,0.137,0.591,0.848,0.0,0.372,-4.397,0.0828,105.922,4,9,0.386
61,Intro: Singularity,Love Yourself 轉 'Tear',BTS,2018-05-18,196998,66,0.554,0.775,0.271,0.00285,0.112,-9.131,0.092,104.001,3,1,0.204
62,FAKE LOVE,Love Yourself 轉 'Tear',BTS,2018-05-18,242333,73,0.00267,0.557,0.719,0.0,0.306,-4.515,0.0372,77.501,4,2,0.344
63,The Truth Untold,Love Yourself 轉 'Tear',BTS,2018-05-18,242292,71,0.372,0.57,0.422,0.0,0.127,-7.561,0.0422,113.007,4,1,0.169
